case;group;in_geraete_anzahl;in_geraete_kompetenz;in_minuten;in_adoption;ki_einstellung_arbeit;ki_einstellung_sozial;ki_einstellung_individuell;ki_einstellung_bildung;ki_einstellung_entscheidungen;ki_profit;ki_gehoert;ki_quelle_massenmedien;ki_quelle_internet;ki_quelle_arbeit;ki_quelle_privat;ki_beispiele;ki_anwendungen_bild;ki_anwendungen_video;ki_anwendungen_text;ki_anwendungen_musik;ki_anwendungen_uebersetzung;ki_anwendungen_transkription;ki_anwendungen_beschreibung;ki_anwendungen_vorlesen;ki_anwendungen_empfehlung;ki_anwendungen_konversation;ki_anwendungen_navigation;cg_kennen;cg_erinnern;cg_erinnern_wochen;cg_erinnern_quelle;cg_nutzen;cg_nutzen_wochen;cg_nutzen_allein;cg_nutzen_gezeigt;cg_nutzen_eindruck;cg_nutzen_privat;cg_nutzen_beruflich;cg_nutzen_aktivitaeten;cg_gesprochen_privat;cg_gesprochen_beruflich;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;cg_adoption_easeofuse_01;cg_adoption_easeofuse_02;cg_adoption_easeofuse_03;cg_adoption_easeofuse_04;cg_adoption_evaluation_01;cg_adoption_evaluation_02;cg_adoption_evaluation_03;cg_adoption_evaluation_04;sd_geschlecht;sd_geburtsjahr;sd_alter;sd_abschluss;sd_ausbildung;sd_ausbildung_keine;sd_ausbildung_lehre;sd_ausbildung_meisterin;sd_ausbildung_studium;sd_ausbildung_promotion;sd_bereich;sd_haushalt;q_anmerkungen;q_started;q_time;q_completed
852;3 Nichtnutzung ChatGPT;10;7;60;Ich probiere neue Angebote eher schnell aus.;4;4;4;5;4;eher profitieren;ja;1;1;1;1;ChatGPT;2;1;2;1;4;3;1;3;4;4;4;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-1;4;-1;5;-1;2;1;1;2;3;1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1977;46;(Fach-) Abitur;2;1;2;1;2;1;IT, Informatik, EDV;3;NA;2023-04-25T13:35:55Z;287;TRUE
853;1 Unkenntnis KI;5;0;130;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;1;1;1;1;1;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1954;69;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;nein;2023-04-25T13:38:47Z;133;TRUE
854;2 Unkenntnis ChatGPT;2;0;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;1;1;1;sicher nicht profitieren;ja;4;3;2;5;Google Assistant;2;2;3;2;4;3;3;3;4;4;4;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1962;61;(Fach-) Abitur;1;1;1;1;2;1;Schule, Bildung, Wissenschaft;1;keine leider;2023-04-25T13:39:16Z;186;TRUE
856;1 Unkenntnis KI;1;1;24;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;5;4;4;4;sicher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1973;50;9. Klasse;1;2;1;1;1;1;In einem anderen Bereich.;1;Nein;2023-04-25T13:45:10Z;169;TRUE
857;2 Unkenntnis ChatGPT;2;2;180;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;2;3;4;eher profitieren;ja;3;3;3;1;NA;2;2;3;2;3;2;3;2;3;4;2;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1968;55;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-25T13:53:21Z;288;TRUE
858;3 Nichtnutzung ChatGPT;6;0;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;2;3;3;5;sicher profitieren;ja;3;5;5;3;Chat GPQ;1;1;2;1;4;3;2;4;2;4;4;ja;ja;8;von Personen im privaten Umfeld;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;-1;4;-1;4;3;-1;2;1;2;1;-1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1997;26;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;2;NA;2023-04-25T13:53:28Z;341;TRUE
859;2 Unkenntnis ChatGPT;3;3;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;2;3;4;2;eher nicht profitieren;ja;3;2;4;4;Bildbearbeitung;3;2;2;2;4;2;3;2;4;2;3;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;(Fach-) Abitur;1;1;2;1;1;1;Hausarbeit;3;nein;2023-04-25T14:04:37Z;238;TRUE
860;1 Unkenntnis KI;2;2;180;Ich probiere neue Angebote eher schnell aus.;2;1;2;1;1;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1963;60;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-25T14:08:39Z;169;TRUE
861;1 Unkenntnis KI;2;2;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;3;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1975;48;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;4;NA;2023-04-25T14:10:58Z;103;TRUE
863;1 Unkenntnis KI;2;0;450;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;2;2;4;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1955;68;(Fach-) Abitur;1;1;2;1;1;1;Verkehr, Logistik, Sicherheit;1;derzeit nicht.....ich lese ab und zu zu diesem Thema. Es bedeutet mir allerdings wenig, im Beruf kann ich es gar nicht anwenden.;2023-04-25T14:14:46Z;258;TRUE
865;4 Nutzung ChatGPT;4;2;6;Ich probiere neue Angebote eher schnell aus.;3;4;4;1;2;eher profitieren;ja;2;2;3;1;chat cpt;3;1;2;3;1;2;2;1;4;3;2;ja;ja;4;aus Internetforen und Plattformen;ja, direkt nachdem ich davon gehört hatte;4;allein;selbst ausprobiert;eher überzeugend;1;5;blog geschieben;1;1;3;3;4;2;5;2;3;4;3;4;2;1;5;5;5;4;5;3;4;4;weiblich;1985;38;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;1;NA;2023-04-25T14:22:07Z;450;TRUE
866;3 Nichtnutzung ChatGPT;4;4;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;3;4;4;eher profitieren;ja;2;4;5;3;"ChatGPT ; BARD";2;2;2;2;4;2;1;2;1;2;2;ja;ja;8;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;3;3;-1;4;5;5;3;3;3;1;-1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1955;68;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;1;NA;2023-04-25T14:23:33Z;504;TRUE
867;3 Nichtnutzung ChatGPT;5;5;80;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;1;3;4;3;2;sicher nicht profitieren;ja;5;5;5;5;keine;1;1;1;1;1;1;1;1;1;1;1;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;5;3;3;5;5;4;4;1;1;3;-1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1961;62;(Fach-) Abitur;1;1;1;1;2;1;Handel, Finanzen, Verwaltung;2;nein;2023-04-25T14:25:08Z;249;TRUE
868;4 Nutzung ChatGPT;8;8;60;Ich probiere neue Angebote eher schnell aus.;4;2;3;4;4;eher nicht profitieren;ja;2;3;4;4;ChatGpt;1;2;3;-1;3;3;2;3;3;4;4;ja;ja;12;aus Massenmedien (online oder offline);ja, aber erst später;2;allein;selbst ausprobiert;unbestimmt;2;1;Rumprobieren;1;1;-1;1;3;-1;4;3;3;4;1;1;1;1;3;3;3;2;3;3;3;2;männlich;1974;49;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;3;NA;2023-04-25T14:25:52Z;406;TRUE
869;3 Nichtnutzung ChatGPT;2;2;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;2;3;2;eher nicht profitieren;ja;5;5;5;5;ChstGP<br>Siri;2;2;2;1;3;1;1;2;1;1;1;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-1;-1;-1;5;4;5;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1998;25;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;1;NA;2023-04-25T14:28:08Z;232;TRUE
870;3 Nichtnutzung ChatGPT;4;3;240;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;4;4;4;2;eher profitieren;ja;4;3;5;5;ChatGTP;1;1;2;1;4;3;1;2;3;3;4;ja;ja;6;aus Internetforen und Plattformen;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;3;-1;4;-1;3;2;2;2;1;-1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1979;44;(Fach-) Abitur;1;1;1;1;2;1;Schule, Bildung, Wissenschaft;4;NA;2023-04-25T14:28:38Z;180;TRUE
871;3 Nichtnutzung ChatGPT;3;3;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;2;3;3;sicher nicht profitieren;ja;4;4;5;5;ChatGPT;1;1;2;1;3;1;1;1;2;2;2;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;4;-1;5;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1954;69;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;2;man sollte es sehr streng überwachen und reglementieren;2023-04-25T14:30:02Z;400;TRUE
872;1 Unkenntnis KI;1;1;30;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;3;3;3;3;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1965;58;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-25T14:31:00Z;105;TRUE
874;3 Nichtnutzung ChatGPT;5;5;240;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;5;4;eher nicht profitieren;ja;2;5;5;5;ChatGPT;1;2;2;1;4;2;1;2;-1;3;3;ja;ja;3;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-1;4;4;5;-1;5;5;1;1;-1;-1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1956;67;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;1;NA;2023-04-25T14:35:50Z;500;TRUE
875;1 Unkenntnis KI;4;4;200;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;1;3;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1969;54;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;1;Nein<br>;2023-04-25T14:39:33Z;167;TRUE
876;1 Unkenntnis KI;21;NA;90;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;4;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;NA;NA;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;1;nein;2023-04-25T14:46:47Z;138;TRUE
877;4 Nutzung ChatGPT;3;3;270;Ich probiere neue Angebote eher schnell aus.;2;3;4;5;4;sicher profitieren;ja;4;4;2;4;Chat GPT;2;2;4;2;2;2;2;2;2;2;2;ja;ja;5;von Personen im privaten Umfeld;ja, direkt nachdem ich davon gehört hatte;5;allein;selbst ausprobiert;sehr überzeugend;2;5;Texte paraphrasieren, Essays schreiben;3;3;5;5;5;5;3;5;3;3;4;3;1;4;5;3;5;5;5;5;5;5;weiblich;2000;23;(Fach-) Abitur;1;1;1;1;2;1;Ich befinde mich noch in einer Ausbildung.;2;NA;2023-04-25T14:47:33Z;366;TRUE
879;3 Nichtnutzung ChatGPT;3;0;300;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;4;4;3;eher nicht profitieren;ja;3;2;5;5;chat gpt;1;2;2;2;2;2;2;2;2;2;2;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;1;3;-1;4;-1;-1;4;1;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1956;67;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;Danke nein;2023-04-25T14:49:16Z;483;TRUE
880;1 Unkenntnis KI;1;1;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;2;2;2;2;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1968;55;(Fach-) Abitur;1;1;1;1;2;1;Soziales, Pflege, Medizin;1;NA;2023-04-25T14:49:31Z;60;TRUE
881;1 Unkenntnis KI;4;1;300;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;4;2;1;4;1;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1967;56;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;3;NA;2023-04-25T14:50:36Z;241;TRUE
883;3 Nichtnutzung ChatGPT;3;2;5;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;1;1;2;1;eher nicht profitieren;ja;3;4;5;5;Chatgtp;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;-1;-1;1;5;4;5;5;1;1;-1;1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1962;61;(Fach-) Abitur;1;1;2;1;1;1;Hausarbeit;2;NA;2023-04-25T15:02:20Z;315;TRUE
884;4 Nutzung ChatGPT;3;3;800;Ich probiere neue Angebote eher schnell aus.;4;2;2;4;4;eher profitieren;ja;2;2;2;2;"GPT-4;ChatGPT;Alexa;Siri";3;2;4;1;3;2;2;3;4;3;3;ja;ja;15;von Personen im privaten Umfeld;ja, direkt nachdem ich davon gehört hatte;15;allein;selbst ausprobiert;sehr überzeugend;3;3;Problemlösungen für Algorithmen<br>;2;2;3;4;5;4;2;3;3;3;4;3;1;1;5;3;4;4;3;4;3;3;männlich;2000;23;(Fach-) Abitur;1;1;1;1;2;1;Ich befinde mich noch in einer Ausbildung.;1;NA;2023-04-25T15:19:52Z;306;TRUE
885;1 Unkenntnis KI;3;2;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;3;2;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1966;57;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;3;NA;2023-04-25T15:23:11Z;280;TRUE
886;1 Unkenntnis KI;2;1;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;10. Klasse;2;1;2;2;1;1;Soziales, Pflege, Medizin;1;NA;2023-04-25T15:40:02Z;176;TRUE
887;1 Unkenntnis KI;4;4;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;2;2;4;4;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1964;59;10. Klasse;1;1;1;1;2;1;Hausarbeit;2;NA;2023-04-25T15:44:18Z;141;TRUE
888;1 Unkenntnis KI;4;2;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;3;4;4;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1966;57;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;3;NA;2023-04-25T15:44:31Z;136;TRUE
889;2 Unkenntnis ChatGPT;3;3;120;Ich probiere neue Angebote eher schnell aus.;3;1;4;2;3;eher nicht profitieren;ja;4;4;3;4;Cobots;1;1;2;2;3;2;1;3;3;3;2;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1986;37;(Fach-) Abitur;1;1;1;1;2;1;Verarbeitung, Produktion, Technik;4;NA;2023-04-25T15:45:06Z;237;TRUE
890;3 Nichtnutzung ChatGPT;2;1;15;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;2;3;3;2;sicher nicht profitieren;ja;3;4;5;5;chatGPT;1;1;2;1;2;1;1;2;1;1;3;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;2;2;-1;5;5;5;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1958;65;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;1;NA;2023-04-25T15:45:56Z;275;TRUE
892;1 Unkenntnis KI;2;2;60;Ich probiere neue Angebote eher schnell aus.;4;4;3;3;4;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1993;30;(Fach-) Abitur;1;1;1;1;2;1;Verarbeitung, Produktion, Technik;2;weiß nicht;2023-04-25T15:48:38Z;136;TRUE
894;1 Unkenntnis KI;2;2;90;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;2;4;4;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1969;54;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;3;NA;2023-04-25T15:50:30Z;216;TRUE
896;3 Nichtnutzung ChatGPT;2;1;360;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;4;1;3;sicher nicht profitieren;ja;3;4;4;5;Formulierung von Texten und Fakten-Reschsche;1;1;2;2;2;2;1;3;1;2;4;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;-1;1;2;5;5;5;-1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1954;69;(Fach-) Abitur;1;1;1;1;2;1;Verkehr, Logistik, Sicherheit;1;Es ist schon beängstigend-beeindruckend, was Chat-GPT hervorbringt. Aber ich lehne das rundweg ab, jeder möge sich seine eigenen Gedanken machen und die zu Papier bringen. Letztendlich sagt das dann auch was über die Persönlichkeit des Schreibers aus. <br>Bei Navi-Geräten darf die Entwicklung gerne weiter gehen, die dürfen gerne auch selbstlernend sein. Staus und lange Wegezeiten sollten erkannt werden und bei der Routenauswahl zukünftig berücksichtigt werden, so auch befahrene Wege, die auf keinem Atlas verzeichnet sind.;2023-04-25T15:53:38Z;638;TRUE
898;1 Unkenntnis KI;5;0;20;Ich probiere neue Angebote eher schnell aus.;4;2;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1979;44;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;4;nein;2023-04-25T15:56:52Z;182;TRUE
902;1 Unkenntnis KI;4;4;10;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;3;3;3;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;9. Klasse;1;2;1;1;1;1;In einem anderen Bereich.;2;nö;2023-04-25T16:02:32Z;124;TRUE
903;1 Unkenntnis KI;2;2;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;2;4;4;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1956;67;(Fach-) Abitur;2;1;2;1;2;1;In einem anderen Bereich.;1;NA;2023-04-25T16:03:56Z;131;TRUE
905;1 Unkenntnis KI;1;1;10;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;1;1;1;2;1;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1961;62;9. Klasse;2;1;2;2;1;1;In einem anderen Bereich.;1;NA;2023-04-25T16:14:19Z;143;TRUE
906;1 Unkenntnis KI;2;2;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;4;3;4;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1969;54;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;3;NA;2023-04-25T16:15:53Z;232;TRUE
907;1 Unkenntnis KI;2;1;100;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;3;4;4;3;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1997;26;(Fach-) Abitur;1;1;2;1;1;1;Verarbeitung, Produktion, Technik;2;NA;2023-04-25T16:26:36Z;125;TRUE
908;4 Nutzung ChatGPT;4;3;120;Ich probiere neue Angebote eher schnell aus.;4;2;2;2;4;eher nicht profitieren;ja;3;3;3;2;NA;3;2;2;2;3;3;2;2;4;3;3;ja;nein;NA;NA;ja, aber erst später;3;allein;selbst ausprobiert;eher enttäuschend;1;1;NA;2;2;-1;2;1;2;4;4;4;4;1;2;2;4;1;-1;2;1;4;2;3;1;weiblich;1998;25;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;2;NA;2023-04-25T16:32:12Z;212;TRUE
